# Fold 0
   5 Bases: [0.18037974683544303, 0.11428571428571428]
   40 Bases: [0.16772151898734178, 0.17142857142857143]
   45 Bases: [0.16455696202531644, 0.17142857142857143]
   50 Bases: [0.16139240506329114, 0.17142857142857143]
# average errors in form of [trainData, testData]:
   5 bases: [0.17151898734177218, 0.1942857142857143]
   10 bases: [0.16582278481012658, 0.17714285714285716]
   15 bases: [0.16645569620253164, 0.17142857142857143]
   20 bases: [0.16835443037974684, 0.1742857142857143]
   25 bases: [0.16867088607594938, 0.18]
   30 bases: [0.16550632911392404, 0.18571428571428572]
   35 bases: [0.1680379746835443, 0.1742857142857143]
   40 bases: [0.1699367088607595, 0.17714285714285716]
   45 bases: [0.1680379746835443, 0.18]
   50 bases: [0.16772151898734178, 0.18]
# std derivation in form of [trainData, testData]:
   5 bases: [0.011035187198837145, 0.07537660547584525]
   10 bases: [0.007380951765626967, 0.08161632489763257]
   15 bases: [0.009193569016667057, 0.07666518779999278]
   20 bases: [0.008585227826740843, 0.08226388599364554]
   25 bases: [0.009498943683420021, 0.07777518622180685]
   30 bases: [0.008843790261064636, 0.07902466677679618]
   35 bases: [0.007936668483534462, 0.08226388599364554]
   40 bases: [0.009067435937907847, 0.08161632489763257]
   45 bases: [0.009645411806410233, 0.07777518622180685]
   50 bases: [0.01020538955480829, 0.07777518622180685]
[0.17151898734177218, 0.16582278481012658, 0.16645569620253164, 0.16835443037974684, 0.16867088607594938, 0.16550632911392404, 0.1680379746835443, 0.1699367088607595, 0.1680379746835443, 0.16772151898734178]
[0.1942857142857143, 0.17714285714285716, 0.17142857142857143, 0.1742857142857143, 0.18, 0.18571428571428572, 0.1742857142857143, 0.17714285714285716, 0.18, 0.18]
 ===== 
[0.011035187198837145, 0.007380951765626967, 0.009193569016667057, 0.008585227826740843, 0.009498943683420021, 0.008843790261064636, 0.007936668483534462, 0.009067435937907847, 0.009645411806410233, 0.01020538955480829]
[0.07537660547584525, 0.08161632489763257, 0.07666518779999278, 0.08226388599364554, 0.07777518622180685, 0.07902466677679618, 0.08226388599364554, 0.08161632489763257, 0.07777518622180685, 0.07777518622180685]
